UserName,Handle,TimeStamp,Comments,Likes,Retweets,Text
DD Bangla News,@DDBanglaNews,2022-09-03T15:45:58.000Z,"এবারের দুর্গাপুজোর অনেক স্পন্সরই জেলে যাবেন, তাই পুজো জৌলুসহীন হবে, দাবি বিজেপির সর্বভারতীয় সহ-সভাপতি দিলীপ ঘোষের।

#Durgapuja 
#durgapuja2022 
#DilipGhosh
#BJP",,,4
My.Kolkata,@TT_My_Kolkata,2022-09-03T15:29:31.000Z,"The #ArtCart’s pop-up sale Flea-कर is off to a vibrant start, with #MyKolkata as digital media partner.
Head to Haldiram Food City, Ballygunge this weekend and kickstart your #DurgaPuja shopping!

More details here: https://telegraphindia.com/my-kolkata/events/the-art-carts-pop-up-sale-at-haldiram-food-city-ballygunge-is-a-hub-for-durga-puja-shopping-with-fashion-accessories-home-decor-items-and-more-photogallery/cid/1884394?slide=10?utmsource=twitter&utmmedium=social&utmcampaign=mkdaily_tw…

#DigitalPartner #Kolkata #TheTelegraph",,,
Anandabazar Patrika,@MyAnandaBazar,2022-09-03T15:13:25.000Z,"পুজোর ভিড়ে মেক আপ নষ্ট হয়ে যায়? দীর্ঘ ক্ষণ সাজ টিকিয়ে রাখার ফিকির জানালেন রূপটান শিল্পী
সবিস্তার https://cutt.ly/PCfuz0j
#makeup #fashion #durgapuja",,,10
Joy Baba Lokenath,@LokenathBabaFC,2022-09-03T15:11:54.000Z," 'মা আসছে' 

জয় বাবা লোকনাথ

#JoyBabaLokenath #LokenathBaba #maaaschey #DurgaPuja #DurgaPuja2022 @ Gurap, Hooghly, West Bengal. গুড়াপ",,,
Nitish sarkar,@nitishsarkar,2022-09-03T14:46:56.000Z,"Kemon Acho Kolkata

Are you ready to celebrate #durgapuja this year? I sure are!

#kolkata is one of the best places to be in during Durga puja. So why not start celebrating with some imaginary AI art? I create something unique and fun with the help of #a…",,,
Bhola Dutta,@BholaDutta19,2022-09-03T14:38:48.000Z,My Bengali Friends Durga Puja Comingsoon #durgapuja #Bholadutta #Lumding #Assam Puja celebration Few days more to go for Mahalaya ,,,
It's a Mukherjee,@GhostedOU812,2022-09-03T11:36:31.000Z,"Replying to 
@pooja_news
 @subhsays
 and 
@ZeeNewsCrime",1,,3
Dhumketu,@dhumketu101,2022-09-03T11:30:47.000Z,"Accurate! 

#Bengali #DurgaPuja",1,,6
AႦԋιʝιƚ,@PrinceNewT0wn,2022-09-03T11:28:03.000Z,"The mesmerizing beat of the dhak reminds me that Maa is coming.......
#DurgaPuja #Sharodotsav",,2,6
সৌরভ আলী,@SurabAliAITC,2022-09-03T11:25:04.000Z,"দুর্গাপুজোকে সাংস্কৃতিক ঐতিহ্যের তালিকায় যুক্ত করার জন্য ইউনেস্কোকে ধন্যবাদ জানিয়ে শহরব্যাপী পালিত হল শারদযাত্রা।  

#BanglarGorboMamata #Didi #Celebration #Kolkata #DurgaPuja #UNESCO
#AITCSSMC",,,
The Telegraph,@ttindia,2022-09-03T11:18:00.000Z,"Over 70 per cent of hotel rooms in the tourist destinations of northern #WestBengal are booked for the #DurgaPuja vacation. Read more here. 

#tourism #durgapuja2022 #revengetour",,1,4
NewsDrum,@thenewsdrum,2022-09-03T10:54:53.000Z,"#DurgaPuja : Hotels, homestays nearly full as north Bengal braces for 'revenge travel' during Durga Puja

https://newsdrum.in/business/hotels-homestays-nearly-full-as-north-bengal-braces-for-revenge-travel-during-durga-puja-84721.html… 

#hotels #homestays #hospitalityindustry #Hospitality #travel #traveling #durgapuja2022 #festival #celebrations #Kolkata #WestBengal #tourism",,1,
Biki Das,@BikiDasAITC,2022-09-03T10:39:38.000Z,"Replying to 
@BanglarGorboMB",,,
Newsz Now,@NewszNow,2022-09-03T07:53:17.000Z,"মহালয়ার আগে ৩ দিন চলবে পুজো মণ্ডপে আগমনি নৈশ প্রদর্শনী

#DurgaPuja #durgapuja2022 #UNESCO #Exibition #NewszNow

বিস্তারিত",,5,3
Dakshayani Durga,@DakshayaniDurga,2022-09-03T07:12:29.000Z,Joy maa durga #dakshayanidurga  #durgapuja2022  #DurgaPuja #durga,1,,
Newsz Now,@NewszNow,2022-09-03T07:00:01.000Z,"পুজোর আগে শেষ মুহূর্তের কেনাকাটা বাকি? চিন্তা নেই আপনাদের জন্য বং মিডিয়া নিয়ে এসেছে আরো ২ টি এক্সিবিশন 

দক্ষিণ কলকাতাবাসীদের জন্য 'দেবী' আর দমদমবাসীদের জন্য 'উমা'

চলবে ২-৪ সেপ্টেম্বর 

#Exhibition #Shopping #DurgaPuja #DurgaPuja2022 #NewszNow",,2,6
Debjani SNS,@Debjani_66,2022-09-03T06:41:43.000Z,"Countdown begins 
27 Days left to Durga Puja 
This wall painting of Maa Durga from 2019 at Surachi Sangha 
@Shaheer_S
 @ShaheerBirdieFC
 

#ShaheerSheikh #SuperShaheera #DurgaPuja #Kolkata",,,2
Kaustav Bandyopadyay,@KaustavB2,2022-09-03T06:05:49.000Z,"#DurgaPuja gets 
@UNESCO
 Heritage Tag... a proud moment for everyone who celebrates the festival. Jai Maa Durga ",,,2
Mysepik,@mysepik,2022-09-03T05:57:31.000Z,"টালা ব্রিজ খুলে গেলে প্রবল যানজট থেকে রক্ষা পাবেন সাধারণ মানুষ
https://mysepik.com/tala-bridge-may-be-inaugurated-the-day-before-mahalaya-a-breeze-of-happiness-in-north-kolkata… /
#Mysepik #talabridge #mahalaya #DurgaPuja",,,
Biplab Mahanta,@biplabmahanta,2022-09-03T05:45:29.000Z,"মা আসছে...
#DurgaPuja #durgapuja2022 #UNESCO",,,1
Drishtibhongi,@Drishtibhongi,2022-09-03T03:30:00.000Z,"আপনি কি দমদম এলাকার বাসিন্দা? ২-৪ সেপ্টেম্বর ইন্দিরা ময়দানে রকমারী সম্ভারের পসরা ঘুরে দেখুন। বং মিডিয়া সল্যুশন এর উদ্যোগ 'দেবী' র আয়োজন শুধুমাত্র আপনার জন্য

#BongMediaSolutions #Exhibition #Shopping #DurgaPuja #DurgaPuja2022 #Dumdum #Drishtibhongi",,,5
Tripurao Didi Ke Chay,@TripuraoDidi,2022-09-03T03:30:00.000Z,"দুর্গতিনাশিনী...

#mamatabanerjee #didi #tripura #agartala #northeastindia #tmc #tmc4tripura #bengali #durgapuja",,24,28
Hanuman Sharma,@hanuman_sharma,2022-09-03T02:17:33.000Z,"Rally to celebrate 
@UNESCO
 tag for #Kolkata's #DurgaPuja 
  https://outlookindia.com/national/in-pictures-celebration-in-the-air-of-kolkata-as-durga-puja-finds-place-in-unesco-s-intangible-cultural-heritage-list-photos-220517?photo-1…

https://unesco.org/en/articles/durga-puja-inscribed-unesco-representative-list-intangible-cultural-heritage-humanity#.YxK4EO6fx0E.link…",,,
Friends Digital,@919FriendsFm,2022-09-03T01:30:00.000Z,"27 Days to go…  etc...

#DurgaPuja #PujorFriendzy2022 #919FriendsFm",,,
Drishtibhongi,@Drishtibhongi,2022-09-03T01:30:00.000Z,"মা আসছেন। বাকি মাত্র ২৭ দিন

#DurgaPuja #DurgaPuja2022 #DurgaPujo2022 #MaaAschen #MaaDurga #durga #BarirPujo #BonediBari  #festival #countdown #pujoasche #RespectDurgaPujo #DurgaPujo #Drishtibhongi",,1,6
Aroup Chatterjee,@AroupChatterjee,2022-09-02T23:32:45.000Z,"Replying to 
@AlexWEllis",,,
Aman,@iamamanshaw,2022-09-02T22:12:11.000Z,"𝗣𝗿𝗲𝘀𝗲𝗻𝘁𝗶𝗻𝗴 𝘁𝗵𝗲 𝗙𝗶𝗿𝘀𝘁 𝗟𝗼𝗼𝗸 𝗣𝗼𝘀𝘁𝗲𝗿 𝗼𝗳

""বিজয়া দশমী”

𝗗𝗶𝗿𝗲𝗰𝘁𝗲𝗱 𝗯𝘆 𝗦𝗼𝘂𝘃𝗶𝗸 𝗗𝗲𝘆
𝗣𝗿𝗼𝗱𝘂𝗰𝗲𝗱 𝗯𝘆 𝗔𝗹𝗮𝗸𝗲𝘀𝗵 𝗗𝗲𝗯𝗻𝗮𝘁𝗵

#BijoyaDashami #BengaliFilm #ThrillerMovie #Crime #Suspence #Mahalaya #DurgaPuja",,,
Bangladesh Livenews,@banglalivenews,2022-09-02T15:23:11.000Z,"Four demands of the Hindu Mahajote including 3 days holiday during Puja | Bangladesh Live News https://bangladeshlivenews.com/en/bangladesh/details/four-demands-of-the-hindu-mahajote-including-3-days-holiday-during-puja… 

#HinduMohajote, #Bangladesh, #HinduFestival, #DurgaPuja",,,
Souryakanti Rana,@SouryakantiR,2022-09-02T15:20:47.000Z,"Replying to 
@NickDLow
 @MamataOfficial
 and 5 others",,,2
Ranabiswas,@Ranabiswas487_,2022-09-02T15:12:31.000Z,#NewProfilePic #UNESCO #Thank #DurgaPujaKolkata #DurgaPuja,,,1
Subhajit Roy শুভ,@SubhajitRoyAITC,2022-09-02T15:04:43.000Z,"মাননীয়া মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের ঐকান্তিক প্রচেষ্টায়, শারদোৎসবের আমেজে রঙিন হয়ে উঠলো তিলোত্তমা। 

#BanglarGorboMamata #durgapuja #Didi #Bengal #UNESCO",,,
Rajesh Ray 𝐀𝐈𝐓𝐂,@Rajesh_Ray_AITC,2022-09-02T15:04:22.000Z,"Replying to 
@BanglarGorboMB",,,
Rajesh Ray 𝐀𝐈𝐓𝐂,@Rajesh_Ray_AITC,2022-09-02T15:04:13.000Z,"মাননীয়া মুখ্যমন্ত্রী মমতা বন্দ্যোপাধ্যায়ের ঐকান্তিক প্রচেষ্টায়, শারদোৎসবের আমেজে রঙিন হয়ে উঠলো তিলোত্তমা। 

#BanglarGorboMamata #durgapuja #Didi #Bengal #UNESCO",,,
Dinbhar Ananda,@dinbhar_ananda,2022-09-02T14:58:43.000Z,"Sohini Sarkar Pujo Shoot 2022: এবার পুজোর সাজে বোল্ট অবতারে এবার সোহিনী! তাঁর নতুন সাজ দেখে মন হারালো নেটিজেনরা! 
@sohinisarkar01
 #DurgaPuja #DurgaPujaKolkata",,,1
Calcutta Times,@Calcutta_Times,2022-09-02T14:52:16.000Z,Goddess goes global! When thousands of peoole from all walks to life celebrated the #unesco tag for #DurgaPuja #DurgaPujaKolkata #durgapujo,,1,2
Mysepik,@mysepik,2022-09-02T13:29:28.000Z,"বিভিন্ন রেস্তরাঁতে গিয়ে গিয়ে খাবার এবং তার উপকরণের মান যাচাই করবে পুরসভা
https://mysepik.com/calcutta-municipal-corporation-will-go-out-of-its-way-to-stop-adulteration-of-news-during-puja-season/…
#Mysepik #DurgaPuja #Durgapuja2022 #DurgaPujaKolkata #kolkatamunicipality",,,
The Times Of India,@timesofindia,2022-09-02T13:22:03.000Z,#MamataBanerjee takes out rally to thank #UNESCO for #DurgaPuja heritage tag,1,3,21
IND24,@IND24AMPL,2022-09-02T13:02:16.000Z,"कोलकाता की दुर्गा पूजा को यूनेस्को ने दिया सांस्कृतिक विरासत का दर्जा
#UNESCOCulturalHeritage #DurgaPuja #Kolkata #IND24",,,
Time8News,@time8news,2022-09-02T12:59:43.000Z,"The chief minister also asked police to make special traffic arrangements to avoid jams as the match will coincide with #DurgaPuja 
@himantabiswa
 @assamcric
 @BCCI
 @BCCIdomestic
 #Guwahati #IndiaSouthAfrica #T20InternationalMatch",,,2
MBC TV ODISHA,@MBCTVODISHA,2022-09-02T12:59:07.000Z,"No plaster-of-Paris idols: Delhi Pollution Control Committee issues guidelines for Ganesh Utsav, Durga Puja
#GaneshUtsav #DurgaPuja #idols #plasterofParis #DelhiPollutionControlCommittee",,,
